"Energy","Efficiency"
8.597597597597598451e+01,8.861636978301337120e-01
8.618618618618619109e+01,8.861518649104823675e-01
8.639639639639639768e+01,8.861400319760662780e-01
8.660660660660660426e+01,8.861281990273864873e-01
8.681681681681682505e+01,8.861163660649264973e-01
8.702702702702703164e+01,8.861045330891533789e-01
8.723723723723723822e+01,8.860927001005187709e-01
8.744744744744744480e+01,8.860808670994586578e-01
8.765765765765766560e+01,8.860690340863942582e-01
8.786786786786787218e+01,8.860572010617325800e-01
8.807807807807807876e+01,8.860453680258670861e-01
8.828828828828828534e+01,8.860335349791775839e-01
8.849849849849850614e+01,8.860217019220308909e-01
8.870870870870871272e+01,8.860098688547817236e-01
8.891891891891891930e+01,8.859980357777724747e-01
8.912912912912912589e+01,8.859862026913342126e-01
8.933933933933934668e+01,8.859743695957865706e-01
8.954954954954955326e+01,8.859625364914386347e-01
8.975975975975975985e+01,8.859507033785883889e-01
8.996996996996998064e+01,8.859388702575243801e-01
9.018018018018018722e+01,8.859270371285250523e-01
9.039039039039039380e+01,8.859152039918595234e-01
9.060060060060060039e+01,8.859033708477875857e-01
9.081081081081082118e+01,8.858915376965604827e-01
9.102102102102102776e+01,8.858797045384207980e-01
9.123123123123123435e+01,8.858678713736028998e-01
9.144144144144144093e+01,8.858560382023330515e-01
9.165165165165166172e+01,8.858442050248303001e-01
9.186186186186186831e+01,8.858323718413059211e-01
9.207207207207207489e+01,8.858205386519638624e-01
9.228228228228228147e+01,8.858087054570017438e-01
9.249249249249250227e+01,8.857968722566097464e-01
9.270270270270270885e+01,8.857850390509721672e-01
9.291291291291291543e+01,8.857732058402668640e-01
9.312312312312312201e+01,8.857613726246658103e-01
9.333333333333334281e+01,8.857495394043346515e-01
9.354354354354354939e+01,8.857377061794339257e-01
9.375375375375375597e+01,8.857258729501187311e-01
9.396396396396396256e+01,8.857140397165383927e-01
9.417417417417418335e+01,8.857022064788380167e-01
9.438438438438438993e+01,8.856903732371568250e-01
9.459459459459459651e+01,8.856785399916301538e-01
9.480480480480480310e+01,8.856667067423882322e-01
9.501501501501502389e+01,8.856548734895569597e-01
9.522522522522523047e+01,8.856430402332580165e-01
9.543543543543543706e+01,8.856312069736091974e-01
9.564564564564564364e+01,8.856193737107239672e-01
9.585585585585586443e+01,8.856075404447119048e-01
9.606606606606607102e+01,8.855957071756792587e-01
9.627627627627627760e+01,8.855838739037283913e-01
9.648648648648648418e+01,8.855720406289581126e-01
9.669669669669670498e+01,8.855602073514642347e-01
9.690690690690691156e+01,8.855483740713389063e-01
9.711711711711711814e+01,8.855365407886716111e-01
9.732732732732732472e+01,8.855247075035481696e-01
9.753753753753754552e+01,8.855128742160520705e-01
9.774774774774775210e+01,8.855010409262639159e-01
9.795795795795795868e+01,8.854892076342609775e-01
9.816816816816816527e+01,8.854773743401188613e-01
9.837837837837838606e+01,8.854655410439097318e-01
9.858858858858859264e+01,8.854537077457039773e-01
9.879879879879879923e+01,8.854418744455688772e-01
9.900900900900902002e+01,8.854300411435702678e-01
9.921921921921922660e+01,8.854182078397710987e-01
9.942942942942943318e+01,8.854063745342325431e-01
9.963963963963963977e+01,8.853945412270134430e-01
9.984984984984986056e+01,8.853827079181708637e-01
1.000600600600600671e+02,8.853708746077599834e-01
1.002702702702702737e+02,8.853590412958336486e-01
1.004804804804804803e+02,8.853472079824433738e-01
1.006906906906907011e+02,8.853353746676390079e-01
1.009009009009009077e+02,8.853235413514682906e-01
1.011111111111111143e+02,8.853117080339775180e-01
1.013213213213213209e+02,8.852998747152116543e-01
1.015315315315315416e+02,8.852880413952136651e-01
1.017417417417417482e+02,8.852762080740257389e-01
1.019519519519519548e+02,8.852643747516877326e-01
1.021621621621621614e+02,8.852525414282388372e-01
1.023723723723723822e+02,8.852407081037169112e-01
1.025825825825825888e+02,8.852288747781579259e-01
1.027927927927927954e+02,8.852170414515975194e-01
1.030030030030030019e+02,8.852052081240693315e-01
1.032132132132132227e+02,8.851933747956063359e-01
1.034234234234234293e+02,8.851815414662400627e-01
1.036336336336336359e+02,8.851697081360011543e-01
1.038438438438438425e+02,8.851578748049193646e-01
1.040540540540540633e+02,8.851460414730231152e-01
1.042642642642642699e+02,8.851342081403400508e-01
1.044744744744744764e+02,8.851223748068970387e-01
1.046846846846846830e+02,8.851105414727196141e-01
1.048948948948949038e+02,8.850987081378328680e-01
1.051051051051051104e+02,8.850868748022606702e-01
1.053153153153153170e+02,8.850750414660262244e-01
1.055255255255255236e+02,8.850632081291521791e-01
1.057357357357357444e+02,8.850513747916600726e-01
1.059459459459459509e+02,8.850395414535709993e-01
1.061561561561561575e+02,8.850277081149050540e-01
1.063663663663663641e+02,8.850158747756819988e-01
1.065765765765765849e+02,8.850040414359203744e-01
1.067867867867867915e+02,8.849922080956388326e-01
1.069969969969969981e+02,8.849803747548546928e-01
1.072072072072072046e+02,8.849685414135852746e-01
1.074174174174174254e+02,8.849567080718467871e-01
1.076276276276276320e+02,8.849448747296552176e-01
1.078378378378378386e+02,8.849330413870259981e-01
1.080480480480480594e+02,8.849212080439737838e-01
1.082582582582582660e+02,8.849093747005132293e-01
1.084684684684684726e+02,8.848975413566581016e-01
1.086786786786786791e+02,8.848857080124213903e-01
1.088888888888888999e+02,8.848738746678164180e-01
1.090990990990991065e+02,8.848620413228556192e-01
1.093093093093093131e+02,8.848502079775508733e-01
1.095195195195195197e+02,8.848383746319141707e-01
